id,texto
1,"Respecto de la respuesta 17 del Tomo I de la Adenda, en atención a lo expresado por el Titular relativo a los letreros o distintivos de identificación de los camiones, se solicita al Titular la instalación temporal de distintivos de identificación, -tales como letreros adhesivos u otros sistemas removibles-, en ambas puertas de la cabina y en la parte posterior del camión respectivo Respuesta:
El Titular confirma, en complemento a lo señalado en respuesta 17 del Tomo I de la Adenda, que se contempla la instalación temporal de distintivos de identificación en lugares visibles en todos los camiones que formen parte de la flota de utilización exclusiva por parte del Titular durante la fase de construcción, específicamente instalados en ambas puertas de la cabina y en la parte posterior del respectivo camión, de acuerdo a lo solicitado expresamente por la Autoridad."
2,"En relación con la información proporcionada en las respuestas N° 27, N° 31 y N° 38 del Tomo I de la Adenda, y en la respuesta N° 1542 del Tomo IX de la Adenda, específicamente, respecto a lo indicado sobre el camino privado “Acceso Mina Lo Aguirre” que permitirá acceder a la Subestación Convertidora (SC) y a la Subestación Seccionadora Existente (SE) Lo Aguirre, se solicita ampliar la información, precisando el enlace (atravieso) que será utilizado para hacer ingreso desde la Ruta N°68. En particular, durante la fase de construcción para el traslado de carga sobredimensionada que, si bien es acotada en cuanto número de viajes, se debe prever el uso de enlace, ángulo de giro y tonelaje permitido, para acceder al Proyecto por la caletera de la Ruta 68, dirección poniente. Además, se debe precisar la ruta de salida hacia la Ruta 68. Deberá ajustar la información cuando refiera al acceso al Proyecto, y cuando sea pertinente, en el EIA. Respuesta:
Xxx"
3,"Se solicita al Titular indicar cómo se vincularán las obras del Proyecto con el proyecto “Segunda Concesión Interconexión Vial Santiago - Valparaíso-Viña del Mar” (RUTA 68) que se encuentra en proceso de licitación. Asimismo, se solicita analizar si dichas obras tienen implicancias en el acceso y salida desde y hacia la Ruta 68. Respuesta:
El Titular aclara que el Proyecto contempla el uso de la Ruta 68 para su acceso a la subestación Lo Aguirre, sin contemplarse obras permanentes aledañas a esta ruta. Cabe señalar que la única acción que interviene dicha ruta, corresponde al uso temporal y ajuste en la vía de servicio que se utilizará a la altura del km 17 para acceder con los 14 Transformadores a la Subestación Convertidora Lo Aguirre, tal como se detalla en respuesta a observación N° 2 anterior.
Si bien no se advierte que los cronogramas de construcción de ambas obras concesionadas coincidan, en caso pertinente, el Titular realizará las respectivas coordinaciones con la Dirección de Vialidad, la empresa concesionaria correspondiente y cualquier otra autoridad competente. Lo anterior, con el objetivo de minimizar los impactos sobre el tránsito normal en dicha ruta."
4,"Se solicita al Titular especificar cómo se gestionará el tránsito de camiones y maquinaria pesada en la comuna de Illapel durante la construcción de los Tramos 5 y 6, considerando su posible impacto en la vialidad y calidad de vida de los habitantes. Respuesta:
En primer lugar, el Titular declara que no habrá tránsito de vehículos y/o maquinarias con carga sobredimensionada en la comuna de Illapel, como se señala en el Layout del Proyecto (Anexo 1-2 de la Adenda Complementaria) que indica las rutas con carga sobredimensionada.
Con respecto al tránsito de camiones y maquinaria pesada en la comuna de Illapel, luego de salir de la Instalación de Faena Illapel, se utilizarán las rutas establecidas hacia los frentes de trabajo del Proyecto. Las rutas a utilizar corresponden a las rutas Ruta 47, D-817, D-787, D-849, D-951, D-787, D-81, D-705, D-71, D-815, D-751, D-37-E, D-377-E, D-887, D-777 para posteriormente tomar los caminos de acceso correspondientes a cada frente de trabajo, entre las torres T-2145 a la T-2271.
Como medida de gestión de tránsito, se señala que se cumplirá con las disposiciones de la normativa de tránsito asociada, en particular con el DFL MOP N° 850/1997 del Ministerio de Obras Públicas, Dirección de Vialidad.
Adicionalmente, con objeto de disminuir posibles riesgos de accidentes por tránsito de vehículos durante la fase de construcción del Proyecto, se proponen las siguientes medidas de gestión asociadas a la seguridad vial:
•Restricción de velocidades de los vehículos. Se realizará charlas diarias a los conductores que participen en la obra. Considerando dentro de los ítems la velocidad de desplazamiento en la zona, así como regirse por todas las normas de tránsito establecidas.
•Se hará uso de las rutas específicas declaradas para movilizarse. Se monitoreará mediante GPS el recorrido del tránsito de los vehículos que participen en la obra y que utilicen dichas rutas.
•Se respetará la velocidad máxima permitida por la Dirección de Vialidad y se incorporará un número de contacto para que vecinos puedan informar en caso de incumplimiento, para lo cual se contempla que todos los vehículos asociados a la faena tengan un letrero distintivo con el número de contacto.
•Se inspeccionarán vehículos para asegurar su buen funcionamiento.
Además, se indica que el Titular tramitará sectorialmente ante la Dirección Regional de Vialidad respectiva todas las autorizaciones que sean aplicables, correspondientes a horarios de circulación de camiones y sus medidas específicas a adoptar (por ej. letreros de salida de vehículos en lugares puntuales que la autoridad defina), entre otros.
Superficie"
5,"En cuanto a la Descripción del Proyecto de la Adenda, se presentan una serie de inconsistencias respecto de las obras y superficies que no permiten tener la claridad requerida para una correcta evaluación del Proyecto, por lo que se solicita rectificar y/o ampliar dicha información, según corresponda, la que debe ser coincidente con las distintas menciones del Proyecto. Ello, a modo de ejemplo, fundamentado en lo siguiente: En la respuesta 22 del Tomo I de la Adenda, el Titular señala que “la superficie de ocupación total del Proyecto informada en el EIA corresponde a 2.602 ha, la cual ha sido actualizada en la presente Adenda a 2.525,4 ha, producto de los ajustes de layout”, distinto a lo indicado en la Tabla 1-29 del Anexo 1 “Actualización de Descripción de Proyecto”, que indica un total de 2520,56 ha, mientras que en la Tabla 1-27 del Anexo 1-1 “Act. Descripción de Proyecto” de la Adenda se indica que las obras permanentes ocupan en total 894,27 ha, distinto a lo mencionado en la Tabla 1-28 del mismo documento, donde señala una superficie de obras temporales de 1723,45 ha, que difiere también con lo indicado en el numeral 1 del Anexo 5-5.B de la Adenda, donde señala que “[l]as obras permanentes del Proyecto ocuparán una superficie total de 967,17 ha, y para las obras temporales se considera una superficie total de 1.807,21 ha”.
En la respuesta 34 literal b) del Tomo I de la Adenda, el Titular señala que ""[c]abe precisar que respecto a los caminos nuevos a habilitar, el Proyecto considera la construcción de 1250,6 km de caminos nuevos para el acceso a algunos de los frentes de trabajo a utilizar durante la fase de construcción”, sin embargo en la respuesta 44 literal g) señala que “[s]e rectifica la superficie de caminos del Proyecto informada en el EIA debido a las modificaciones del layout presentadas en esta Adenda, resultando una superficie total de 815,3 ha de caminos nuevos”, no siendo coincidente.
En el numeral 1.6.1.1 “Fundaciones” y Tabla-37 “Resumen Cálculo de Superficie Fundaciones LTE HVDC”, el Titular calcula la superficie de suelo ocupada por las torres solamente en relación a la superficie ocupada por cada una de sus patas. Se aclara al Titular que la superficie de suelo a ocupar por estas obras debe corresponder a toda el área ocupada por las estructuras, y no solamente por las patas, por lo que se solicita corregir esta superficie, ya que de la forma que lo calcula, estaría subdimensionada.
En la respuesta 67 del Tomo I de la Adenda, el Titular señala que “[e]l sistema de piscinas tendrá una capacidad conjunta de 30 m3, ocupando una superficie de 10 m x 6 m.”, sin embargo, no hay claridad respecto de que esta superficie se encuentre considerada dentro de las obras indicadas para el Proyecto.
En la Tabla 1-10 del Anexo 1-1 “Act. Descripción de Proyecto” de la Adenda, se indica un total de 21 instalaciones de faena, mientras que en los Anexos 7-13 A- B-C-D y E- relativos al PAS160- se indica que “[p]ara la construcción del Proyecto se considera la habilitación de veintitrés (23) instalaciones de faena”.
Respuesta:
El Titular indica que a continuación se aclara, rectifica y actualiza la información entregada en Adenda y que para esta Adenda Complementaria se entregan nuevos valores de acuerdo con los ajustes de Layout que se detallan en el Anexo 1-1 Introducción a la Adenda Complementaria.
a) El Titular aclara y rectifica que el área de intervención del Proyecto declarado en la Adenda corresponde a 2520,56 has, mientras que para esta Adenda Complementaria se considera una superficie total de ocupación de obras de 2370,88 has.
Por otra parte, el Titular aclara y rectifica que en área de ocupación de obras Permanentes en Adenda corresponde a 894,27 has, mientras que para esta Adenda Complementaria se ha actualizado a 788,66 has. Con respecto a la superficie de ocupación de obras Temporales, en Adenda corresponde a 1723,45 has, mientras que para Adenda Complementaria se ha actualizado a 1691,03 has.
b) El Titular aclara que lo indicado en Adenda es correcto ya que entrega valores para longitud de caminos a construir en Km (kilómetros) y por otro lado valores de superficie de afectación de caminos en ha (hectáreas) lo cual no es comparable y no es posible obtener superficie de afectación de caminos mediante la multiplicación del largo por el ancho (6 m de ancho declarados en Adenda), ya que la superficie de afectación declarada considera el ancho de calzada de 6 m más la superficie de corte y relleno, el cual es variables dependiendo de la pendiente del terreno  la pendiente del camino. Al mismo tiempo el Titular actualiza en Adenda Complementaria el ancho de los caminos a 3,2 m pasando a ser unidireccionales, por lo que de esta forma y debido a ajustes de Layout se actualiza la longitud total de caminos a construir a 1226,47 km y una superficie de afectación total de 668,57 has.
c) El Titular rectifica lo indicado en Adenda respecto a la superficie de fundaciones LTE HVDC, por lo que en Anexo 1-1 numeral XXXXXXXXXXXX, se profundiza en la nueva modalidad de calculo de superficie de afectación de suelo por fundaciones de patas para estructuras autosoportadas y tirantes para estructuras atirantadas, donde se ha considerado como superficie de ocupación de suelo para las torres autosoportadas, tanto las fundaciones como el área bajo la torre, resultando que la superficie en Adenda es de 21,42 has, pasando a actualizarse en esta Adenda Complementaria a una superficie de 70,5 has.
d) dasdaDADAd
e) El Titular aclara, y de acuerdo con lo indicado en Anexo 1-1 Introducción a la Adenda Complementaria, que el total de Instalaciones de faena es de 21, distribuyéndose 3 para Estaciones Convertidoras, 2 para Interconexiones y 16 para LTE HVDC.
Plazas de tendido"
6,"El Titular en respuesta 23 del Tomo I de la Adenda, señala la habilitación de 576 plazas de tendido, en las que está proyectado despeje de vegetación. Considerando la cantidad de este tipo de obras emplazadas en la Región de Atacama, se solicita identificar aquellas que están proyectadas al interior del Sitio Prioritario “Desierto Florido”, debiendo especificar la forma en la que se restaurarán los sitios una vez finalizada la fase de construcción, en términos, por ejemplo, de descompactar el terreno o reestablecer sustrato en caso de haber escarpe. Lo anterior, teniendo en consideración que el fenómeno de desierto florido no se presenta todos los años. Respuesta:
Respecto a las plazas de tendido, y como se describió en el EIA y en la Adenda, corresponden a zonas de trabajo y no a obras como tal. Su función es permitir el izado de cables en las torres y su respectivo alzamiento y tensión.
Como se indicó también en la Adenda anterior, se realizará un proceso de limpieza o despeje de obstáculos en el área a utilizar, para tener una superficie plana y libre de obstáculos para el correcto despliegue de equipos y maquinarias. Esto implica movimiento de rocas u otros elementos presentes.
Respecto a las plazas de tendido ubicadas al interior del Sitio Prioritario Desierto Florido, se contempla la instalación de 29 plazas de tendido, respecto de las 165 que se contemplan para la Región de Atacama. En el correlativo de código asignado comprenden desde la PT-225 hasta la PT-279 (Ver figura 6-3). El detalle de las PT en el SP Zona del Desierto Florido es el siguiente:
18 en Comuna de Copiapó: PT-225, PT-226, PT-227, PT-228, PT-229, PT-230, PT-231, PT-232, PT-233, PT-234, PT-235, PT-236, PT-237, PT-238, PT-239, PT-240, PT-241 y PT-242.
11 en Comuna de Vallenar: PT-263, PT-264, PT-271, PT-272, PT-273, PT-274, PT-275, PT-276, PT-277, PT-278 y PT-279.
Figura 6-3 Distribución de Plazas de tendido en SP Desierto Florido
Fuente: Elaboración propia, 2025.
Finalmente hay que señalar y reiterar que no existirá restauración de las zonas de plazas de tendido, ya que no existirá intervención de suelo natural. No se contempla intervención en estos sectores, debido a la actividad que se desarrollará en las plazas de tendido.
Caminos"
7,"El Titular en respuesta 25 del Tomo I de la Adenda, señala que los caminos serán construidos con una pendiente máxima del 12%, por lo que se solicita especificar los tramos en los que la pendiente será mayor a 8% y en los que se considera despeje de vegetación y remoción de material suelto, para que sean incorporados en el análisis de riesgo de activación de procesos erosivos y su respectivo seguimiento. Respuesta:
Xxx"
8,"De acuerdo a lo observado en Anexo 1-2 “Layout de Proyecto” de la Adenda, se solicita al Titular revisar la capa de caminos nuevos y considerar todos los accesos, independiente si son permanentes o temporales ya que, al desplegar la capa de acceso a diferentes obras, no es coincidente con la de caminos nuevos, y al revisar información ráster, no se observa que existan huellas de acceso para llegar a dichas obras. Respuesta:
Xxx"
9,"Respecto de las respuestas 25 y 26 del Tomo I la Adenda, tras revisar el Anexo 1-2 ""Layout del Proyecto"" de la Adenda, y el Anexo 1-3 ""Coordenadas de todas las obras del Proyecto"" de la Adenda, no fue posible acceder al inicio y final de los caminos; ello en relación con la pregunta efectuada al EIA referente a la posibilidad de realizar escarpes y compactación. Se solicita incorporar. Respuesta:
En atención a lo solicitado, el Titular complementa la información entregada en las respuestas 25 y 26 del Tomo I de la Adenda, e indica que se ha actualizado la red vial del Proyecto presentándose en el Anexo 1-3 “Coordenadas emplazamiento de obras actualizado” de la presente Adenda Complementaria, la actualización de las coordenadas geográficas de inicio y término para los caminos pertenecientes a las tres categorías consideradas del Proyecto, tal como se explica en la respuesta 5 de la presente Adenda Complementaria, corresponden a las siguientes:
•Coordenadas inicio y término para caminos nuevos.
•Coordenadas inicio y término para caminos existentes.
•Coordenadas inicio y término para caminos existentes a mejorar.
La información incorporada en el anexo actualizado permite una identificación precisa y completa de todos los tramos viales, además de la indicación si los caminos requieren de escarpe y compactación."
10,"Se solicita al Titular complementar la respuesta 28 del Tomo I de la Adenda, puesto que debe especificar las acciones que realizará para estos caminos con el objeto de determinar el impacto que puede producir al suelo, su condición biológica y capacidad de sustentar biodiversidad. Respuesta:
El Titular señala que, a raíz de las observaciones contenidas en el ICSARA Complementario, y buscando asegurar la factibilidad técnica de uso de caminos existentes, se realizó una revisión de todos los caminos del Proyecto, mediante campañas de terreno con el fin de identificar el estado actual de estos, mejorando su descripción y aplicando un criterio más conservador para determinar la forma de construcción y/o uso de cada uno de ellos.
Producto de este trabajo, se implementaron las siguientes acciones:
Ajuste de ancho de Caminos Nuevos a construir (CN), pasando de un estándar de 6,0 metros a uno de 3,2 metros. Cabe señalar que el ancho establecido originalmente de 6,0 metros obedecía a un diseño con transito bidireccional, ajustándose en esta Adenda Complementaria a lo estrictamente necesario para la construcción considerando que, dado los bajos flujos vehiculares proyectados para atender cada frente de trabajo, permiten diseñarse para un tránsito unidireccional manteniendo los estándares necesarios para su uso.
Ajuste en el método constructivo, con el fin de prescindir de algunos caminos, lo cual genera un aumento de 100 a 148 torres que serán construidas mediante helicóptero.
Incorporación de la categoría Caminos a Mejorar (CM), que corresponde a aquellos caminos existentes que debido a su estado actual requerirán de alguna acción puntual para su utilización, los cuales fueron incorporados precautoriamente al análisis como parte del área de intervención del Proyecto.
Modificación de caminos existentes (CE) a utilizar, privilegiando aquellos que tuvieran mejores condiciones.
La consolidación del trabajo antes dicho, ha permitido generar las siguientes tipologías de caminos a utilizar por el Proyecto cuya definición y alcance es el siguiente:
Caminos Nuevos (CN): Todos los caminos nuevos de acceso a los frentes de trabajo de las torres, han sido rediseñados sobre la base de un análisis de ingeniería, estableciendo un ancho de calzada máximo de 3,2 metros, el cual permite el tránsito unidireccional de los vehículos y maquinaria considerada para la construcción del Proyecto. Del mismo modo, la pendiente máxima de los caminos nuevos es de 12%, no obstante, es posible encontrar en algunos sectores pendientes superiores, pero que no superan el 20% de la extensión de la red.
Caminos Existentes (CE): Son aquellos que al menos deben tener un ancho de calzada mínimo de 2,5 metros, radios de giro adecuados (mínimo 3,5 metros), lo cual permite el adecuado paso de la maquinaria y equipos declarados en el Proyecto. No consideran ningún tipo de ensanche y se utilizan con las pendientes que presentan actualmente.
Caminos Existentes a Mejorar (CM): Consideran la optimización y/o acondicionamiento de la carpeta superficial de rodado del camino existente para su adecuado uso considerando que estos cuenten con un ancho mínimos de 2,5 metros para su correcto tránsito y uso.
Dentro de las acciones de optimización y/o acondicionamiento a realizar se consideran las siguientes:
Perfilado y demarcación de camino existente a mejorar. Se realizará el perfilado del camino utilizando retroexcavadora y/o excavadora en un ancho de 2,5 m, retirando el material suelto o rocas superficiales mediante el desplazamiento superficial de la pala, sin intervenir la carpeta principal del camino. En los sectores donde existan desmoronamientos de taludes desde el cerro hacia el camino o acumulación de material sobrante, estos serán perfilados para mantener el ancho mínimo de la vía. El material excedente será utilizado en zonas que requieran relleno dentro del mismo camino.
En algunos casos, en caso de requerirse el mejoramiento de la carpeta existente mediante aporte de material, este será transportado en camión tolva y distribuido uniformemente sobre la superficie del camino utilizando la misma retroexcavadora. A su vez, en algunos casos también se podrá requerir la utilización de motoniveladora.
Adicionalmente, en aquellos sectores dentro del área de influencia que presentan zonas con radios de giros insuficientes para el uso de la maquinaria declarada en el Proyecto, se ajustarán estos sectores de curvas ampliando el radio de giro, el cual debe ser de al menos de 3,5 metros para el tránsito adecuado de la maquinaria.
Remoción de materiales sueltos y obstáculos. Esta labor se ejecutará mediante herramientas manuales o retroexcavadoras sin modificar el perfil transversal del camino ni alterar su trazado, garantizando un tránsito continuo y sin riesgos para el personal, maquinaria o el equipo del Proyecto.
Relleno de Cárcavas y nivelación de terreno. Esta actividad considera la corrección puntual de cárcavas, erosiones o hundimientos generados por escurrimiento superficial o tránsito anterior, mediante el relleno con el mismo material granular presente en la calzada, entendiendo que una vez que se prepare la zona de tránsito, existirá material suelto el cual debe esparcirse en la misma zona de tránsito.
De acuerdo a lo anterior, en la presente Adenda Complementaria, se actualiza la Evaluación de Impactos, en los Anexos 3-1 al Anexo 3-5, en función de las intervenciones realizadas según los tipos de caminos, incorporando la superficie que será afectada por estas actividades. El detalle de las áreas a intervenir por cada camino existente a mejorar se presenta en el Anexo 1-3 “Coordenadas emplazamiento de obras actualizado” de la presente Adenda Complementaria.
Suelo"
